assists,evGoals,evPoints,faceoffWinPct,gameDate,gameId,gameWinningGoals,gamesPlayed,goals,homeRoad,lastName,opponentTeamAbbrev,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrev,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts,seasonId
0,0,0,,2023-03-09,2022021029,0,1,0,R,Smith,WSH,0,0,8474090,0,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,928.0,2,7.75,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,0,0,0.0,2,20222023
0,0,0,,2023-03-11,2022021044,0,1,0,R,Smith,MTL,0,0,8474090,1,0,0.0,D,0,0,0,0,0.0,L,3,Brendan Smith,NJD,1125.0,2,6.4,,0,,0,1,3.2,1,3.2,0,,0,0,,0,0,1,1,3.2,4,20222023
0,0,0,,2023-03-14,2022021065,0,1,0,H,Smith,TBL,0,0,8474090,1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,984.0,2,7.31,,0,,0,0,0.0,2,7.31,0,,0,0,,0,0,3,1,3.65,3,20222023
0,0,0,,2023-03-18,2022021100,0,1,0,R,Smith,FLA,0,2,8474090,1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,879.0,2,8.19,,0,,0,0,0.0,2,8.19,0,,1,0,,1,2,0,0,0.0,3,20222023
0,0,0,,2023-03-25,2022021159,0,1,0,H,Smith,OTT,0,0,8474090,-2,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,448.0,0,0.0,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,0,0,0.0,0,20222023
0,0,0,,2023-03-27,2022021172,0,1,0,R,Smith,NYI,0,0,8474090,0,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,693.0,0,0.0,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,0,0,0.0,1,20222023
0,0,0,,2023-04-06,2022021243,0,1,0,H,Smith,CBJ,0,0,8474090,1,0,0.0,D,0,0,0,0,0.0,L,4,Brendan Smith,NJD,1298.0,6,16.64,,0,,0,1,2.77,1,2.77,0,,1,0,,1,2,1,4,11.09,7,20222023
0,0,0,,2023-04-13,2022021301,0,1,0,R,Smith,WSH,0,0,8474090,1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,1239.0,1,2.9,,0,,0,0,0.0,6,17.43,0,,0,0,,0,0,1,0,0.0,1,20222023
0,0,0,0.5,2022-10-13,2022020012,0,1,0,R,Tatar,PHI,0,0,8475193,-1,0,0.0,L,0,0,0,0,0.0,L,2,Tomas Tatar,NJD,969.0,1,3.71,,0,,0,0,0.0,0,0.0,0,,0,0,,1,1,1,0,0.0,4,20222023
0,0,0,1.0,2022-10-15,2022020028,0,1,0,H,Tatar,DET,0,4,8475193,-1,0,0.0,L,0,0,0,0,0.0,L,1,Tomas Tatar,NJD,897.0,1,4.01,,0,,0,1,4.01,2,8.02,0,,0,0,,0,0,0,0,0.0,1,20222023
0,0,0,,2022-10-18,2022020048,0,1,0,H,Tatar,ANA,0,0,8475193,0,0,0.0,L,0,0,0,0,0.0,L,2,Tomas Tatar,NJD,716.0,0,0.0,,0,,0,0,0.0,3,15.08,0,,0,0,,0,0,2,0,0.0,4,20222023
0,0,0,0.66666,2022-10-20,2022020066,0,1,0,R,Tatar,NYI,0,0,8475193,0,0,0.0,L,0,0,0,0,0.0,L,4,Tomas Tatar,NJD,840.0,1,4.28,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,0,0,0.0,4,20222023
0,0,0,,2022-10-22,2022020075,0,1,0,H,Tatar,SJS,0,0,8475193,0,0,0.0,L,0,0,0,0,0.0,L,3,Tomas Tatar,NJD,890.0,2,8.08,,0,,0,2,8.08,1,4.04,0,,0,0,,0,0,0,0,0.0,3,20222023
0,1,1,0.0,2022-10-24,2022020093,0,1,1,H,Tatar,WSH,0,2,8475193,0,1,1.0,L,0,0,0,0,0.2,L,5,Tomas Tatar,NJD,956.0,0,0.0,,0,,0,0,0.0,0,0.0,0,,0,0,,1,1,1,0,0.0,7,20222023
1,0,1,,2022-10-25,2022020102,0,1,0,R,Tatar,DET,0,0,8475193,1,1,1.0,L,0,0,0,0,0.0,L,4,Tomas Tatar,NJD,896.0,0,0.0,0.0,0,0.0,0,1,4.01,3,12.05,0,,0,0,,0,0,2,0,0.0,6,20222023
