assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts
76,20,74,0.0,4,82,25,Karlsson,2,36,8474578,-26,101,1.2317,D,5,27,20222023,0,0,0.11961,R,209,Erik Karlsson,SJS,1536.9024,90,2.57,3.0,0,3.0,5,101,2.88,33,0.94,2,,4,4,,68,78,218,81,2.31,505
43,17,48,0.44155,4,82,20,Eberle,1,34,8474586,6,63,0.76829,R,3,15,20222023,0,0,0.11299,R,177,Jordan Eberle,SEA,1001.0609,25,1.09,1.0,0,1.0,4,33,1.44,44,1.92,1,,7,11,,50,69,75,55,2.41,321
20,5,16,,0,40,9,Carlson,0,12,8474590,-7,29,0.725,D,3,12,20222023,1,1,0.07258,R,124,John Carlson,WSH,1403.375,87,5.57,2.0,0,2.0,0,33,2.11,42,2.69,0,,1,11,,57,69,68,21,1.34,261
41,10,35,,5,67,18,Josi,1,36,8474600,5,59,0.88059,D,8,24,20222023,0,0,0.06691,L,269,Roman Josi,NSH,1510.0298,146,5.19,0.0,0,0.0,2,29,1.03,51,1.81,1,,4,11,,72,88,185,24,0.85,542
27,6,21,,4,73,7,Schultz,1,40,8474602,4,34,0.46575,D,1,13,20222023,0,0,0.07142,R,98,Justin Schultz,SEA,1067.3698,72,3.32,0.0,0,0.0,0,24,1.1,30,1.38,0,,1,0,,31,32,85,14,0.64,215
2,2,4,0.59523,0,14,2,Dalpe,0,2,8474610,-4,4,0.28571,C,0,0,20222023,0,0,0.11764,R,17,Zac Dalpe,FLA,504.0714,6,3.06,0.0,0,0.0,0,0,0.0,15,7.65,0,,0,1,,3,4,4,2,1.02,25
15,6,17,,1,75,6,Hamonic,0,71,8474612,-5,21,0.28,D,0,1,20222023,0,3,0.04411,R,136,Travis Hamonic,OTT,1113.6133,143,6.16,1.0,0,1.0,1,64,2.75,109,4.69,0,,3,4,,37,44,97,22,0.94,277
6,5,10,0.54265,0,73,5,Stepan,0,8,8474613,8,11,0.15068,C,0,0,20222023,0,1,0.05102,R,98,Derek Stepan,CAR,544.8356,21,1.9,0.0,0,0.0,2,10,0.9,29,2.62,0,,1,1,,44,46,34,24,2.17,178
1,1,2,,0,20,1,Scandella,0,6,8474618,2,2,0.1,D,0,0,20222023,0,0,0.05882,L,17,Marco Scandella,STL,1070.1,26,4.37,0.0,0,0.0,0,10,1.68,27,4.54,0,,0,0,,2,2,22,7,1.17,41
5,6,9,,1,48,6,Stone,0,35,8474628,2,11,0.22916,D,0,2,20222023,0,0,0.06521,R,92,Michael Stone,CGY,798.7916,59,5.53,0.0,0,0.0,1,15,1.4,54,5.07,0,,0,8,,31,39,77,6,0.56,208
16,18,28,0.51121,1,62,22,Henrique,0,22,8474641,-8,38,0.6129,C,4,10,20222023,0,0,0.16666,L,132,Adam Henrique,ANA,1090.8064,46,2.44,0.0,2,2.0,4,34,1.8,28,1.49,0,,2,2,,41,45,47,26,1.38,224
12,2,13,,0,58,2,Brodie,0,14,8474673,10,14,0.24137,D,0,0,20222023,0,1,0.03448,L,58,TJ Brodie,TOR,1273.0517,111,5.41,0.0,0,0.0,0,43,2.09,47,2.29,0,,0,2,,14,16,27,26,1.26,101
16,9,24,0.4375,2,51,11,Nyquist,0,16,8474679,-9,27,0.52941,R,0,1,20222023,2,2,0.10784,L,102,Gustav Nyquist,"CBJ,MIN",1057.1764,30,2.0,1.0,2,3.0,0,19,1.26,41,2.73,1,,4,3,,23,31,31,31,2.06,164
13,5,16,0.55172,0,46,5,Grant,0,26,8474683,-4,18,0.3913,C,0,2,20222023,0,0,0.06944,L,72,Derek Grant,ANA,890.7391,26,2.28,0.0,2,2.0,1,14,1.23,36,3.16,1,,0,1,,24,26,25,18,1.58,123
0,0,0,,0,4,0,Borowiecki,0,12,8474697,0,0,0.0,D,0,0,20222023,0,0,0.0,L,1,Mark Borowiecki,NSH,595.5,1,1.51,,0,,0,0,0.0,5,7.55,0,,0,0,,3,3,3,0,0.0,7
12,7,19,0.33333,1,81,7,Martin,0,63,8474709,4,19,0.23456,L,0,0,20222023,0,0,0.08536,L,82,Matt Martin,NYI,668.9135,43,2.85,1.0,0,1.0,1,20,1.32,295,19.6,0,,1,2,,38,41,40,15,0.99,163
23,10,29,,3,79,11,Spurgeon,0,14,8474716,32,34,0.43037,D,1,4,20222023,0,1,0.07382,R,149,Jared Spurgeon,MIN,1308.7215,179,6.23,5.0,0,5.0,2,20,0.69,66,2.29,1,,0,7,,55,63,78,15,0.52,290
1,1,2,,1,12,1,Benn,0,12,8474818,-1,2,0.16666,D,0,0,20222023,0,0,0.07692,L,13,Jordie Benn,TOR,948.0833,29,9.17,0.0,0,0.0,0,15,4.74,31,9.8,0,,0,1,,5,6,11,0,0.0,30
20,8,23,0.51327,0,56,12,Johnson,0,16,8474870,-21,32,0.57142,C,4,9,20222023,0,0,0.096,R,125,Tyler Johnson,CHI,993.9821,25,1.61,0.0,2,2.0,1,22,1.42,49,3.16,0,,2,6,,40,48,43,33,2.13,216
